station,state,name,lat,long,count
USC00042239,CA,CUYAMACA,32.9897,-116.5872,7
USC00042941,CA,FAIRMONT,34.705,-118.4297,7
USC00043761,CA,"HAPPY CAMP RS",41.7961,-123.3747,7
USC00046508,CA,ORLEANS,41.3019,-123.5386,7
USC00046826,CA,"PETALUMA AP",38.2578,-122.6078,7
USC00047851,CA,"SAN LUIS OBISPO POLY",35.3056,-120.6619,7
USC00047965,CA,"SANTA ROSA",38.4558,-122.7133,7
USC00092318,GA,COVINGTON,33.5972,-83.8436,7
USC00093621,GA,GAINESVILLE,34.3006,-83.86,7
USC00096335,GA,"NEWNAN 7 WNW",33.3997,-84.915,7
USC00097600,GA,ROME,34.2414,-85.1583,7
USC00098740,GA,TOCCOA,34.5786,-83.3319,7
USC00099141,GA,WARRENTON,33.4028,-82.6222,7
USC00099157,GA,"WASHINGTON 2 ESE",33.7264,-82.7058,7
USC00101956,ID,"COEUR D'ALENE",47.6822,-116.7967,7
USC00187806,MD,"ROYAL OAK 2 SSW",38.7153,-76.1908,7
USC00196681,MA,PROVINCETOWN,42.05,-70.1833,7
USC00202737,MI,"FAYETTE 4 SW",45.6667,-86.7167,7
USC00218419,MN,"TWO HARBORS",47.0258,-91.6653,7
USC00223975,MS,HERNANDO,34.8039,-90.0103,7
USC00225247,MS,LOUISVILLE,33.1356,-89.0711,7
USC00312635,NC,EDENTON,36.0164,-76.5517,7
USC00312719,NC,"ELIZABETH CITY",36.3097,-76.205,7
USC00313017,NC,"FAYETTEVILLE (PWC)",35.0592,-78.8589,7
USC00314055,NC,HIGHLANDS,35.0564,-83.1983,7
USC00314684,NC,"KINSTON 7 SE",35.1967,-77.5433,7
USC00315177,NC,LUMBERTON,34.6269,-79.025,7
USC00315771,NC,"MONROE 2 SE",34.9797,-80.5233,7
USC00319476,NC,"WILSON 3 SW",35.6939,-77.9461,7
USC00354003,OR,"HOOD RVR EXP STN",45.6847,-121.5175,7
USC00355362,OR,"MCKENZIE RVR RS",44.1792,-122.1164,7
USC00355734,OR,MORO,45.4825,-120.7236,7
USC00380165,SC,ANDERSON,34.5283,-82.6608,7
USC00381277,SC,"CALHOUN FALLS",34.0906,-82.5883,7
USC00381588,SC,CHERAW,34.7028,-79.8822,7
USC00381770,SC,"CLEMSON UNIV",34.6603,-82.8233,7
USC00385200,SC,"LITTLE MTN",34.1994,-81.4144,7
USC00387722,SC,SANTUCK,34.635,-81.5206,7
