station,thecount,stationid,lat,long,elevation,state,name
USC00023160,9,USC00023160,35.2719,-111.73,2239.1,AZ,"FT VALLEY"
USC00044713,9,USC00044713,39.3183,-120.6392,1571.5,CA,"LAKE SPAULDING"
USC00047902,9,USC00047902,34.4167,-119.6844,4.9,CA,"SANTA BARBARA"
USC00063207,9,USC00063207,41.3503,-72.0378,12.2,CT,GROTON
USC00295960,9,USC00295960,32.9542,-105.8222,2073.6,NM,"MTN PARK"
USC00300889,9,USC00300889,40.9519,-72.2978,12.8,NY,BRIDGEHAMPTON
USC00318694,9,USC00318694,36.4003,-81.3053,863.8,NC,TRANSOU
USC00350694,9,USC00350694,44.0569,-121.285,1115.6,OR,BEND
USC00351862,9,USC00351862,44.6342,-123.19,68.6,OR,"CORVALLIS STATE UNIV"
USC00351897,9,USC00351897,43.7917,-123.0275,181.4,OR,"COTTAGE GROVE 2E"
USC00352997,9,USC00352997,45.5247,-123.1025,54.9,OR,"FOREST GROVE"
USC00354003,9,USC00354003,45.6847,-121.5175,152.4,OR,"HOOD RVR EXP STN"
USC00355384,9,USC00355384,45.2214,-123.1622,47.2,OR,"MC MINNVILLE"
USC00420086,9,USC00420086,37.4403,-112.4819,2163.5,UT,ALTON
USC00441209,9,USC00441209,37.0908,-81.3364,935.1,VA,"BURKES GARDEN"
USC00454764,9,USC00454764,46.7492,-121.812,841.9,WA,"LONGMIRE RAINIER NPS"
USC00487240,9,USC00487240,41.1722,-104.1583,1578.9,WY,"PINE BLUFFS 5W"
USW00013724,9,USW00013724,39.3778,-74.4236,3.0,NJ,"ATLANTIC CITY MARINA"
USC00048758,10,USC00048758,39.1678,-120.1428,1898.9,CA,"TAHOE CITY"
USC00314055,10,USC00314055,35.0564,-83.1983,1173.5,NC,HIGHLANDS
USC00351433,10,USC00351433,44.3914,-122.4811,292.6,OR,CASCADIA
USC00353770,10,USC00353770,45.4486,-122.1547,228.0,OR,"HEADWORKS PORTLAND WTR B"
USC00358466,10,USC00358466,45.1219,-122.07,341.4,OR,"THREE LYNX"
USC00450945,10,USC00450945,47.1694,-122.0036,208.8,WA,"BUCKLEY 1 NE"
USC00451276,10,USC00451276,46.72,-122.9528,56.4,WA,CENTRALIA
USC00451484,10,USC00451484,48.9672,-122.3292,19.5,WA,CLEARBROOK
USC00451939,10,USC00451939,47.3706,-123.16,6.4,WA,"CUSHMAN POWERHOUSE #2"
USC00454769,10,USC00454769,46.1372,-122.9781,3.4,WA,LONGVIEW
USC00455224,10,USC00455224,47.1356,-122.2561,173.7,WA,"MCMILLIN RSVR"
USC00458773,10,USC00458773,45.6775,-122.6514,67.1,WA,"VANCOUVER 4 NNE"
USC00047916,11,USC00047916,36.9878,-121.9994,21.3,CA,"SANTA CRUZ"
USC00451233,11,USC00451233,47.4144,-121.7561,475.5,WA,"CEDAR LAKE"
USC00452675,11,USC00452675,47.9753,-122.195,18.3,WA,EVERETT
USC00457507,11,USC00457507,48.4958,-122.2355,15.8,WA,SEDRO-WOOLLEY
USC00457773,11,USC00457773,47.5414,-121.8361,134.1,WA,"SNOQUALMIE FALLS"
USC00040693,12,USC00040693,37.8744,-122.2606,94.5,CA,BERKELEY
USC00043161,12,USC00043161,39.51,-123.7564,37.5,CA,"FT BRAGG 5 N"
USC00046175,12,USC00046175,33.6031,-117.8836,3.0,CA,"NEWPORT BEACH HARBOR"
USC00351055,12,USC00351055,42.0464,-124.2878,26.2,OR,BROOKINGS
USC00358494,12,USC00358494,45.4539,-123.8519,3.7,OR,TILLAMOOK
USC00450008,12,USC00450008,46.9658,-123.8292,3.0,WA,ABERDEEN
USC00450587,12,USC00450587,48.7178,-122.5114,4.6,WA,"BELLINGHAM 3 SSW"
USC00450729,12,USC00450729,48.9947,-122.7619,5.2,WA,BLAINE
USC00452914,12,USC00452914,47.9558,-124.3539,106.7,WA,"FORKS 1 E"
USC00454748,12,USC00454748,46.3675,-124.0378,7.6,WA,"LONG BEACH EXP STN"
USC00456096,12,USC00456096,48.6117,-122.8064,24.4,WA,"OLGA 2 SE"
USC00456624,12,USC00456624,48.1139,-123.4317,27.4,WA,"PORT ANGELES"
USC00456678,12,USC00456678,48.1161,-122.7586,30.5,WA,"PORT TOWNSEND"
USC00456914,12,USC00456914,46.6533,-123.73,9.1,WA,"RAYMOND 2 S"
USW00024213,12,USW00024213,40.8097,-124.1603,6.1,CA,"EUREKA WFO WOODLEY IS"
USW00024281,12,USW00024281,47.65,-122.3,5.8,WA,"SEATTLE URBAN SITE"
USW00024284,12,USW00024284,43.4133,-124.2436,5.2,OR,"N BEND SW OREGON RGNL AP"
USW00024285,12,USW00024285,44.6431,-124.0556,37.2,OR,NEWPORT
USW00094224,12,USW00094224,46.1569,-123.8833,3.4,OR,"ASTORIA AP (PORT OF)"
station,thecount
USC00080611,1
USC00083207,1
USW00012835,1
USW00012836,1
USC00080228,2
USC00080478,2
USC00020080,3
USC00021026,3
USC00026250,3
USC00027370,3
USC00029652,3
USC00040924,3
USC00041048,3
USC00042319,3
USC00044259,3
USC00084289,3
USC00086414,3
USC00087851,3
USC00088824,3
USC00088942,3
USC00410144,3
USC00411528,3
USC00412906,3
USC00413063,3
USC00417622,3
USW00012924,3
USC00021514,4
USC00210018,4
USC00210252,4
USC00210515,4
USC00211630,4
USC00212142,4
USC00213303,4
USC00215615,4
USC00215638,4
USC00216547,4
USC00245572,4
USC00250435,4
USC00321408,4
USC00321871,4
USC00323287,4
USC00323594,4
USC00323621,4
USC00324203,4
USC00324418,4
USC00325220,4
USC00325479,4
USC00326255,4
USC00327530,4
USC00328792,4
USC00329100,4
USC00391739,4
USC00392797,4
USC00412679,4
USW00014946,4
USW00023179,4
USW00094967,4
USC00011084,5
USC00012813,5
USC00013511,5
USC00013816,5
USC00017366,5
USC00018024,5
USC00018178,5
USC00018323,5
USC00018438,5
USC00021614,5
USC00024849,5
USC00025512,5
USC00026353,5
USC00027281,5
USC00027390,5
USC00028619,5
USC00028815,5
USC00029287,5
USC00044890,5
USC00046399,5
USC00046719,5
USC00047306,5
USC00049452,5
USC00080211,5
USC00082220,5
USC00082915,5
USC00082944,5
USC00084731,5
USC00085275,5
USC00090140,5
USC00090586,5
USC00091340,5
USC00091500,5
USC00092966,5
USC00093754,5
USC00094170,5
USC00095874,5
USC00095882,5
USC00097276,5
USC00098535,5
USC00098703,5
USC00099186,5
USC00100010,5
USC00101408,5
USC00110072,5
USC00110338,5
USC00112140,5
USC00112193,5
USC00113335,5
USC00114198,5
USC00114823,5
USC00115079,5
USC00115326,5
USC00115712,5
USC00115768,5
USC00115833,5
USC00115901,5
USC00116526,5
USC00116610,5
USC00116910,5
USC00117551,5
USC00118740,5
USC00118916,5
USC00119241,5
USC00119354,5
USC00120177,5
USC00120676,5
USC00121229,5
USC00121873,5
USC00122149,5
USC00123418,5
USC00123513,5
USC00123527,5
USC00124008,5
USC00124181,5
USC00125337,5
USC00127298,5
USC00127482,5
USC00127522,5
USC00127646,5
USC00129511,5
USC00129557,5
USC00129670,5
USC00130112,5
USC00130600,5
USC00131533,5
USC00131635,5
USC00132789,5
USC00134063,5
USC00134735,5
USC00134894,5
USC00135769,5
USC00135796,5
USC00137161,5
USC00138296,5
USC00138688,5
USC00140405,5
USC00160098,5
USC00160205,5
USC00160537,5
USC00161287,5
USC00161411,5
USC00162151,5
USC00162534,5
USC00163313,5
USC00163800,5
USC00164407,5
USC00164700,5
USC00167344,5
USC00168163,5
USC00169013,5
USC00169806,5
USC00176937,5
USC00201439,5
USC00204090,5
USC00210075,5
USC00212916,5
USC00213290,5
USC00214106,5
USC00214652,5
USC00215175,5
USC00215563,5
USC00216152,5
USC00216565,5
USC00217087,5
USC00217460,5
USC00218618,5
USC00221094,5
USC00221389,5
USC00221865,5
USC00221880,5
USC00222094,5
USC00223107,5
USC00223887,5
USC00224939,5
USC00225987,5
USC00226177,5
USC00227128,5
USC00227132,5
USC00229426,5
USC00229439,5
USC00229793,5
USC00229860,5
USC00231822,5
USC00237963,5
USC00238523,5
USC00243013,5
USC00243089,5
USC00243581,5
USC00244038,5
USC00244345,5
USC00244364,5
USC00244522,5
USC00246601,5
USC00247382,5
USC00248857,5
USC00250070,5
USC00250375,5
USC00250420,5
USC00251200,5
USC00252205,5
USC00252840,5
USC00253035,5
USC00253185,5
USC00253630,5
USC00253660,5
USC00253910,5
USC00254985,5
USC00255080,5
USC00255470,5
USC00256040,5
USC00256135,5
USC00257715,5
USC00258395,5
USC00258465,5
USC00258480,5
USC00258915,5
USC00259090,5
USC00259510,5
USC00261071,5
USC00268988,5
USC00291469,5
USC00292848,5
USC00293368,5
USC00294426,5
USC00296435,5
USC00298535,5
USC00299165,5
USC00301401,5
USC00304647,5
USC00306164,5
USC00309292,5
USC00320941,5
USC00322365,5
USC00324178,5
USC00324958,5
USC00329445,5
USC00331072,5
USC00332098,5
USC00332119,5
USC00332791,5
USC00333375,5
USC00334189,5
USC00335297,5
USC00335315,5
USC00338313,5
USC00338534,5
USC00338552,5
USC00338822,5
USC00340179,5
USC00345509,5
USC00349395,5
USC00380074,5
USC00380559,5
USC00380764,5
USC00381944,5
USC00381997,5
USC00382260,5
USC00383468,5
USC00384753,5
USC00386209,5
USC00386527,5
USC00388426,5
USC00389469,5
USC00390043,5
USC00390128,5
USC00391972,5
USC00392429,5
USC00393029,5
USC00393217,5
USC00393832,5
USC00394516,5
USC00395481,5
USC00395536,5
USC00395891,5
USC00396170,5
USC00398622,5
USC00399442,5
USC00410120,5
USC00410174,5
USC00410493,5
USC00410498,5
USC00410639,5
USC00410832,5
